Review Date,Reviewer,Review Rating,Review Title,Review Text,Brand
2023-04-21,Whitney Estes,1,Terrible customer service,Terrible customer service. No allowances for exchanges after 30 days no matter the circumstances. I bought a few sets of pants in the same style but one was tall instead of regular which was only found on a small tag. I realized it 4 days after the 30 day window had passed. I tried to make an exchange but the store said couldn't do anything and told me to call online. I called online and they told me the only handle online orders! I was then redirected to who I was told could help me with the return but the person I was redirected to only asked I provide feedback on my customer service experience!,OldNavy
2023-02-23,lmlm lm,2,Slowest Shipping!,"Old Navy's shipping is the slowest! It was said on their website that free shipping would take 7-9 business days(it's used to be 4 business days or so), but it could take longer than that. Called the customer service, the rep was rude and unhelpful. Old Navy obviously has no interest in customer service!",OldNavy
2022-12-19,Robin,1,Horrible. They shipped to wrong address,I placed three separate orders the first week of December. Old Navy shipped them to my old address although I had updated my shipping address. I called six times to get this fixed. They have customer service who do not speak understandable English. Despite the calls all three orders were sent to my old address and so I got nothing instead. Go elsewhere. Old Navy obviously has no interest in customer service.,OldNavy
2022-10-04,Angela,1,It's absolutely awful how bad old navy…,It's absolutely awful how bad old navy customer service has become their return policy is going to destroy the respect to buy here. I can't believe they count 30days when its are taking 2 weeks to get here. I will be venturing away from old navy to target more alot better service.,OldNavy
2022-05-13,gm,1,Old Navy Krause Blvd Solon,"Old Navy Krause Blvd Solon, OH - while I was in the womens dressing room trying on clothes I noticed above me a male standing on a ladder looking down into all the dressing rooms - there were other women and young girls in the dressing room area.  I immediately informed the store manager who told me she know he was in there working.  I called the corporate office where eventually they offered me $50 to return to the store.  Do not let this happen to you! Do not shop Old Navy!!!!",OldNavy
2023-02-09,mone ata,5,smooth transaction,"I wish all companies across Canada would have such a good customer service. My order arrived early than expected, yes 2 items where short but called customer service and unlike other companies where you have to press 1 for this and 2 for that and wait online for hours, where very quick on answering the call and within 5 minutes, problem was solved, and my missing items were shipped out on the same day. Congratulations on being such a reliable company. This is not my first order, I never had issues before and will continue to shop at Old Navy. Keep up the good work!",OldNavy
2023-01-22,Matt Eidem,1,My wife & I went to do a return at Old…,"My wife & I went to do a return at Old Navy. Since some items were passed the 30-day return window, we were offered a gift card instead. But we’re then told the return was declined & we had to call Return Activity Report. The return was over 30 days because their downtown store closed out, where we had tried the return a week earlier.At this point, my wife spoke with a very unpleasant old man named Ralph. He was clearly reading off a script and mumbling his words. When my wife, who is Colombian, got confused, he made racist comments to her. So we ended up making two different trips, out $200 bucks, and having to deal with a racist old man.",OldNavy
2023-01-11,Sheri Keen,5,Do you know the sinking feeling when…,"Do you know the sinking feeling when you've lost your cell phone? I DO! I lost my phone today (jan10,2023) and ON Employees RYAN, YAMI and ZAID stopped what they were doing and HELPED me search the store, took my additional contact info and continued to look out for my phone after I left their store! Amazing and Mature Young Adults! KUDOS to these 3 for the outstanding efforts in their part to ease their frantic store customer. Fortunately my phone was found in a different location - but these outstanding adults continued to call my phone and kept the search going until they knew I had it in my possession! I cannot thank them enough! CORPORATE should recognize these 3 adults for their outstanding service to their customers! They truly went ""above and beyond"" their duties today!Thankful CustomerTip for consumers:Kudos to Employees for Exemplary Customer Service on Jan. 10, 2023!",OldNavy
2023-03-18,ALIX,2,Won't use them again,I gave 2 stars because I'm happy with my merch and they were OK about the returns.  What I am unhappy with is that they took a month to actually refund my $.,OldNavy
2023-03-06,Melissa Wierenga,1,Won't talk to me to refund incorrect item,They sent one wrong item and one correct item.  They don't handle returns and refunds on email and state on their site to call for an issue like that.  I called and they picked up the phone and didn't say anything. They just replayed like an echo of everything I said.  I can't even understand these people doing that.   I can't wear the shorts that I didn't order and I will never buy from them again.,OldNavy
2023-02-23,lmlm lm,2,Slowest Shipping!,"Old Navy's shipping is the slowest! It was said on their website that free shipping would take 7-9 business days(it's used to be 4 business days or so), but it could take longer than that. Called the customer service, the rep was rude and unhelpful. Old Navy obviously has no interest in customer service!",OldNavy
2023-02-15,Christee Bailey,1,ON mistake,"I ordered Rib Racerback Ocean 3-Pack twice, returned to ON store once, reordered and called three times based on an inaccurate web description.  Yet no recourse, not even a discount was offered for Old Navy's mistake. Disappointed in Old Navy Customer Service!!",OldNavy
2023-02-11,Lada,1,Wouldn't refund me for items that were stolen.,"Old Navy wouldn't refund me for stolen & missing items from my online order. Very poor customer service. I thought I could file the claim with the carrier who delivered the package. After several weeks, I was notified that the claim actually has to be file with the shipper. After contacting Old Navy's customer service, received a very unfriendly email that I can't get refunded for items that I claim are missing and if I want further assistance, contact my bank. That's the first red flag! There is definitely something going on between shipping and delivery. Needless to say I won't be shopping this Co anymore. Many of their things are poor quality anyway and pretty much unusable after one wash. I get to choose where to spend my hard earned money and if a company could care less about customers bad experience, it's not worth my hard earned money.",OldNavy
2023-02-09,mone ata,5,smooth transaction,"I wish all companies across Canada would have such a good customer service. My order arrived early than expected, yes 2 items where short but called customer service and unlike other companies where you have to press 1 for this and 2 for that and wait online for hours, where very quick on answering the call and within 5 minutes, problem was solved, and my missing items were shipped out on the same day. Congratulations on being such a reliable company. This is not my first order, I never had issues before and will continue to shop at Old Navy. Keep up the good work!",OldNavy
2023-01-22,Matt Eidem,1,My wife & I went to do a return at Old…,"My wife & I went to do a return at Old Navy. Since some items were passed the 30-day return window, we were offered a gift card instead. But we’re then told the return was declined & we had to call Return Activity Report. The return was over 30 days because their downtown store closed out, where we had tried the return a week earlier.At this point, my wife spoke with a very unpleasant old man named Ralph. He was clearly reading off a script and mumbling his words. When my wife, who is Colombian, got confused, he made racist comments to her. So we ended up making two different trips, out $200 bucks, and having to deal with a racist old man.",OldNavy
2023-01-16,Van,1,"Worn, stinky clothing, how sickening…","With Covid 19, influenza , RSV wrecking people’s lives right now, old navy shipped a piece of clothing that has an intense smell of cigarette smoke covered with this vomit 🤢 inducing body spray smell, with no tag to our home. Clearly, this piece of clothing has been worn, retuned then shipped to our home. Bag also has a “retouch tag/bin” sticker on it which distinctively shows that it was a returned item to old navy’s shipping center. It was mortifying and nerve wracking to open the shipping bag and be hit in the face/nose with that disgusting, horrendous smell. The bag had to be left outside for fear of what harm the smell could possibly do to our health and well being if left indoors. With no genuine apology given by the three customer service representatives that we spoke with… calls dropped/unable to hear the representatives, the resolution old navy gave us were: drive to UPS in the rain storms, drive to the store in the rain storms or mail the item back to old navy. All these options require a long waiting period before the refund can be processed. Reshipment of item was not offered.  For jeopardizing our safety and well being with the worn item they shipped to us, I was reluctantly offered 15% or 20% off coupon for future purchase which cannot be combined with any existing offers, which I politely declined. FYI: The only reason the 15% discount was offered was because I insisted on being compensated for our travel expense to and from UPS/a local store…#gasisexpensive#hellooldnavy. Either way, we have been inconvenienced by old navy’s incompetence and untrustworthiness. Why would I be excited about the 15% or 20% off coupon which cannot be combined with any other offers when currently they have 30% off discount including clearance on their website. Go figure!",OldNavy
2023-01-11,Sheri Keen,5,Do you know the sinking feeling when…,"Do you know the sinking feeling when you've lost your cell phone? I DO! I lost my phone today (jan10,2023) and ON Employees RYAN, YAMI and ZAID stopped what they were doing and HELPED me search the store, took my additional contact info and continued to look out for my phone after I left their store! Amazing and Mature Young Adults! KUDOS to these 3 for the outstanding efforts in their part to ease their frantic store customer. Fortunately my phone was found in a different location - but these outstanding adults continued to call my phone and kept the search going until they knew I had it in my possession! I cannot thank them enough! CORPORATE should recognize these 3 adults for their outstanding service to their customers! They truly went ""above and beyond"" their duties today!Thankful CustomerTip for consumers:Kudos to Employees for Exemplary Customer Service on Jan. 10, 2023!",OldNavy
2023-01-08,Annie Hawker,5,Best ever!!!!!!!!!!!!!!!!!!!!!!!,"Best ever!!!!!!!!!!!!!!!!!!!!!!!! We love Old Navy because the employees are so helpful and kind. My daughter got such cute outfits for Christmas from old navy and they are great quality!! Their crop tops are WAY better than gap, but old navy has such great sales and the best sale of the year is their back-to-school sale. We always get all our back to school clothes there and Old Navy is a company you can always trust.",OldNavy
2022-12-30,Viann Siu,1,Bad customer service and online order…,"Bad customer service and online order total doesn't show the shipping cost.When i pay it doesn't show the shipping cost so i thought it is free shipping.  After i pay for it, just see there is 9 dollor shipping fee.  Call customer service to cancel the order, they don't have patient to listen to you.",OldNavy
2022-12-29,Cam,1,Old Navy does not care about their customers.,"Old Navy recently canceled 2 of my orders for no reason at all! Worse is one of the orders was made for my mother. After being on the phone with customer service for over 3 hours, they finally managed to do a reorder... but by then some of the items had sold out. They also shipped the wrong sizes.I repeatedly asked to speak to a supervisor and was told one would call me back within 72 hours, but they never did. They also never told me exactly why the orders were randomly canceled in the first place. If I hadn't happened to check my email I would've never known. Do not do business with them, they do not care about their customers. The quality of their clothing has also drastically declined.",OldNavy
2022-12-19,Robin,1,Horrible. They shipped to wrong address,I placed three separate orders the first week of December. Old Navy shipped them to my old address although I had updated my shipping address. I called six times to get this fixed. They have customer service who do not speak understandable English. Despite the calls all three orders were sent to my old address and so I got nothing instead. Go elsewhere. Old Navy obviously has no interest in customer service.,OldNavy
2022-12-17,NORMA LUNDIN,1,Don't rely on timely delivery!,"I placed an on-line order on December 6, 2022. December 17, 2022 I called to find out where my order was, as they say Basic delivery 7-9 days.I was told they had just filled the order on Dec.16th and I would likely not receive it until after December 28th. My grandchildren will have gone home by then.If I had known this Christmas present would not be received in time for Christmas I would have ordered thru AMAZON!NEVER AGAIN will I order or shop Old Navy!",OldNavy
2022-12-16,N S,1,Cannot fulfill orders and shipment,"The most disgusting experience,  DO NOT SHOP ONLINE WITH OLD NAVY , THEY ARE AN ABSOLUTE DISASTER! THEY CANNOT FUFILL THE ORDERS AND SHIP THEM ON TIME! THEY ARE ABSOLUTELY USLESS!",OldNavy
2022-12-16,Susan,1,The fit is terrible and the clothes…,The fit is terrible and the clothes fall apart immediately.,OldNavy
2022-12-10,Ace OfSpades,1,3rd world customer service that is not…,"3rd world customer service that is not only nasty to American consumers, they are also incompetent!",OldNavy
2022-12-02,Thelma Zanone,1,Horrible customer service,Horrible customer service! The new return policy is awful! 30 days. 32 days and I’m stuck with it. I’ll spend my money elsewhere on better clothes.,OldNavy
2022-11-27,Jenny Good,1,Totally incapable!,"Avoid using Old Navy online if you don 't want to chance delivery issues! I bought a pair of jeans - JEANS - not some very expensive item that would normally require a signature. .UPS refused to leave them at the door, like normal shippers would, because according to them someone did not answer the door before 8am, on a weekend. They took them somewhere for ""pick up"". I do not want to inconvenience someone on my end to have to go pick up this item. I paid to have it SHIPPED not picked up. .I tried Old Navy's chat option to resolve this. Chat would not connect me with a human, and their AI was more artificial than intelligent. After a hide and seek session with their phone menu, I got a gal on the phone who hung up on me when trying to place me on hold. On my second calling attempt, I spoke with a guy who told me it is UPS' issue, not theirs. .I agree that UPS is HORRID but when ON chooses a shipper, they attach their customer experience to that shipper, so it should be their concern too. I could not get a human at UPS and was hung up on by their robot, right after she told me that they value my business. Oh the irony. .At this point, I plan to purchase a pair of jeans from a company that takes better care of their customers, and does not require a face-to-face delivery for a simple pair of pants. .This is extraordinarily bad business on so many levels. Including their response to my entering an after-call survey response of 0 on a scale of 0-10 regarding recommending their company to others... smart business would be to incorporate a policy of immediate follow up to make the customer who enters a 0 feel heard, and to resolve their issue. They did nothing of the kind. .Old Navy will get none of my business in the future, but they might want to hire me to help them create a better customer experience. Big box business or not, if you treat enough people poorly, you fold. Business is still personal.",OldNavy
2022-11-23,Rochelle,1,Old Navy Missing Items on online orders 2 times in a row.,"I have been buying from Old Navy for years and have increased my shopping to buying from Old Navy online. Today, I received my online order and it is missing a pair of toddler leggings. I called customer service to report the missing item from my 9 item order and was told a case would get opened and someone will email with the result of the investigation. This is so wrong! It is their fault for not packing the item, and I have to wait to hopefully receive a refund or a reorder in 2-3 business days? I swear their customer service was better before. This also happened on the order before this one. I also was missing an item and had to wait 3 business days to get an email showing a refund was processed. Because this is not convenient and because they are making back to back mistakes on their end, I no longer am interested in spending hundreds of dollars a year for myself and family. I'd rather just shop at Target or other stores that have better customer service. It is the worst to feel like you are lying or trying to take advantage. Really? For a $9 pair of leggings, I promise you I am not trying to get over and waist 20 minutes calling customer service. I am so upset.",OldNavy
2022-11-17,AJ,5,I love Old Navy!,"I love Old Navy! The clothes there might be a bit pricy, but they have many sales and their clothes are great quality! We have one near us, so I have had no situations with the shipping stuff, but their dressing rooms are clean, great costumer service, etc.",OldNavy
2022-11-15,ericabdillard,1,Ive been purchasing old navy leans in…,Ive been purchasing old navy brand jeans in there talls for 9yrs. I spend $800. -$1000. every fall. Now today I go to my local Burlington WA store and cant find any size8 talls or any pants that are aimed at people who are not short! I was told they were not popular enough to keep on the shelves and i would have to order online. Screw you Old Navy I dont want to buy my jeans online. I enjoy my shopping day that i get once or twice a year. It hurt my feelings that tall people are not important enough to keep a small shelf of talls in your stores. I will be shopping somewhere else from now on and since I have no balance on my GAP CARD now I i will be cutting that up! And replacing it with a company that appreciates my business and has products that i can try on and make sure im getting a good fit.,OldNavy
2022-11-14,Britney Flagg,2,I'M SO DISAPPOINTED AND PISSED OFF WITH…,I'M SO DISAPPOINTED AND PISSED OFF WITH OLD NAVY... 😤🤬🤯 THIS IS THE THIRD TIME IN A ROW THEY HAVE SENT ME SIZE 3XL & SIZE 22 JEANS!! WHEN MY ORDER WAS FOR XL & SIZE 16 JEANS! I CALLED CUSTOMER SERVICE THEY SAID THEY WOULD SEND ME OUT THE RIGHT ORDER AND I SENT BACK THE WRONG SIZE TO THEM. 3X BACK AND FORTH AND THEY STILL SENT ME THE WRONG SIZES EVERY TIME!,OldNavy
2022-11-10,Wes Heidi Gerbick,1,Old Navy sent the wrong items,"Old Navy sent the wrong items. Again! and the only way to get a refund is to mail them back with the warehouse processing it all within 30 days of the order. Due to me placing the order for an elderly family member who lives a few hours away, this is nearly impossible to complete.The first time I received the wrong item, they refused to refund my money.Now I have $128 worth of incorrect items to return and no guarantee that it will be refunded.I have been an ON cardholder for about 10 years, have shopped with them with my kiddos and now this whole order, in combination with others totaled about $320 will need to be returned. They were the holiday family pajamas, which are out of stock now, all varieties! This company doesn't seem to care that they sent the wrong items (twice) and I will most likely not be refunded the money due to the circumstances.  The customer service rep i spoke with could not refund my money unless the wrong items were returned via mail. A supervisor, with the power to do so, was conveniently not available. Having worked as a customer service rep for Limited Brands for several years...I know this level of customer service is negligent.",OldNavy
2022-10-16,Carol Worden,5,FANTASTIC!!,I placed a single order for 10 pairs of Christmas matching family pajamas in 7 different sizes. My entire order was correct! The quality of the pajamas is excellent. And my order arrived sooner than expected!! This is the first time I’ve ordered online from Old Navy and I will absolutely order again from them! Thank you Old Navy!,OldNavy
2022-10-13,Zachary Abel,1,Shady practice,Bought 2 pairs of pants for 40% off. Only reason I bought from old navy was the deal because they don't have the best looking clothes. They reduced my discount to 25% without my say so! Pretty shady practice. My order was pretty small so I wonder how many customers you guys have done this to?,OldNavy
2022-10-04,Angela,1,It's absolutely awful how bad old navy…,It's absolutely awful how bad old navy customer service has become their return policy is going to destroy the respect to buy here. I can't believe they count 30days when its are taking 2 weeks to get here. I will be venturing away from old navy to target more alot better service.,OldNavy
2022-08-31,ThinkPink Pinkluv,1,Package didn’t arrive until after the…,"Package didn’t arrive until after the return window closed. They wouldn’t take anything back because it was ONE day past the return window, even though I had JUST received it.",OldNavy
2022-08-19,Corwin Borys,1,Plastic clothes.,,OldNavy
2022-08-05,Althea Herico,1,They have fake sign up discount…,They have fake sign up discount promotion. Even agents would lie to you! Never ever purchase anything from them.,OldNavy
2022-07-08,Degu Tilahun,2,Ordered items to take with me back home…,"Ordered items to take with me back home for nephews and nieces. From 5-7 shipping days, it went up to 14 so i am going to miss the shipment. Buying Old Navy online is a joke.",OldNavy
2022-06-26,Kendall Meador,1,Simply the Worst,"Old Navy has the absolute worst customer service in the world. Every dealing with them is infuriating because ON doesn't give their reps the power to DO ANYTHING for their customers. Can't cancel an order or change shipping info, can't cancel and reorder credit card that was sent to wrong address, nothing. I absolutely hate this company, and its clear this company hates its consumers as much as it loves their money.",OldNavy
2022-06-08,Na,1,The reason being is that the person who…,The reason being is that the person who hires people at the central Jersey locations was late and disrespectful towards people over the phone and got down right rude,OldNavy
2022-05-15,Shawna Allen,1,NEVER AGAIN!,Placed an order online bc the store doesn't match online prices. Which in itself is absolutely ridiculous. So my order arrives and the jeans are hideous and the leggings are very poor quality. So I take them to the store to get a refund. I get the receipt and she said my refund was $27.23....I walked outside and got to thinking that I know I paid more than that. I looked at my online receipt and sure enough it $32.60. So I go back in and I was told that I don't get reimbursed for shipping and handling. NOWHERE on their website does it say that you forfiet your S&H if you return in store. I'll never order online or ship in store again.,OldNavy
2022-05-13,gm,1,Old Navy Krause Blvd Solon,"Old Navy Krause Blvd Solon, OH - while I was in the womens dressing room trying on clothes I noticed above me a male standing on a ladder looking down into all the dressing rooms - there were other women and young girls in the dressing room area.  I immediately informed the store manager who told me she know he was in there working.  I called the corporate office where eventually they offered me $50 to return to the store.  Do not let this happen to you! Do not shop Old Navy!!!!",OldNavy
2022-04-03,Rosanne Fremming,1,Never able to log into my account,"Over at least the past 5 years, I have made multiple online purchases from Old Navy. Every time I have done so, I have been unable to sign into my account despite multiple attempts to change my password, switch to a different device, clear my cache, reboot my electronic device and call into customer service (who has never been able to rectify this situation).  I do not recall ever having been able to make an online purchase without having to do so as a guest. I can't even sign in on my Old Navy app because of this issue. I do not know if my points from my online purchases as a guest are actually added to my account because I cannot log into my account to view this.  I doubt it, as I have few (if any) points racked up to take advantage of when I have gone into an Old Navy store.  I am wondering if this is done intentionally to random people in order to make more money off of people who regularly spend money at Old Navy. Seems needless and really underhanded for a huge publicly traded corporation to stoop to such low levels to save a few bucks on ordinary, middle-income families.  The products themselves are of good quality otherwise I wouldn't continue to shop there.  This is just more than 5 years of frustration built up over an issue that should have been easy to solve.",OldNavy
2022-03-13,Emily Moore,5,Good Service,The staff at the Cambridge store resolved my curbside pick-up issue quickly and without incident,OldNavy
2022-02-10,Cheryl Baldwin,2,Disapointed,"For about 20 years I have been a wearer of Old Navy clothes. I am a teacher and I was able to afford reasonable, well made clothes. Within the last year or 2 I have been unable to find anything that doesn't look "" cheaply"" made and there is very little variety. The dresses are all the same! Not many clothes that I could wear to work.",OldNavy
2022-02-01,Alicia Griffin,3,Old navy,"Old Navy must understand that they should make improvements to their website, because I have a problem with their clothes and shoes. I will never use PayPal no more for payment.",OldNavy
2021-12-22,Teresa Blair,1,Old Navy staff and Manager Mirna in…,"Old Navy staff and Manager Mirna in Hiram, GA are at best bottom feeders! I will not spend another penny in their loser store. Nothing on sale that you would want. No coupons online or at the store. The manager should stay there she would never get hired at a decent store. I imagine that is why she is there!",OldNavy
2021-12-11,Lindsey,2,Odd.,"Ordered several items on 11/23, received an email on 11/30 notifying me that my items had all shipped, expected to be delivered by 12/3. The day they were to be delivered, I checked the tracking to see what it said and it still confirmed they were to be delivered that day. Nothing showed up by the end of the day, so I checked the tracking and the delivery date disappeared and instead it said as of 12/1 it was delayed, but that had never been mentioned before. There was no sign of anything over the next week beyond 12/3. Today, 12/10, I contacted ON via online chat and the person was very helpful and issued a full refund. Hopefully I’ll see that soon, but I’m still not sure what happened. Why say it has shipped if it never has? I received an email after chatting with the person stating I had returned the items, which was obviously not true, but did they ever mail them, did they not? So confusing. Won’t plan to order anything online from their stores again.",OldNavy
2021-11-29,Reggie,5,They tend to make things right,If you have a problem with any item they will take it back no questions asked.,OldNavy
2021-11-24,Iturgurl Vae,1,A terrible company,I worked at the old navy in bayers lake the manager kiesha was extremely disrespectful as were a lot of the staff and the quality of clothes is terrible I wouldn’t shop there personally,OldNavy
2021-11-18,Ashley ,1,Absolutely disgusted with old navy they…,"Absolutely disgusted with old navy they sent me clothes that had stains on it & unfortunately I can’t return & re order as the item is not available anymore, they offered 15% off my next order which is basically nothing as I won’t be ordering from them again. Everywhere else would have offered a full refund if the item wasn’t available anymore for re order. Don’t order from them online anymore as they are a useless customer service that does nothing for their mistake for sending stained clothes.",OldNavy
2021-11-12,Barb,2,This company use to ship items quickly,"This company use to ship items quickly. Nowadays, shipping takes forever. I ordered items on October 28th and I still haven't them. I will no longer order items online.",OldNavy
2021-11-09,Leo Mak,1,I just can't believe how bad my first…,"I just can't believe how bad my first online shopping experience with Old Navy. I ordered a few items online in early Sept, I didn't received them until a month later. When I finally received the package, a wrong item was sent to me in error. I contacted Customer Service for returning the wrong item that Old Navy sent me. I returned it by mail right away. Old Navy received the item on Oct 12. I contacted Old Navy at the end of Oct but Customer Service said I need to wait until after Nov 03 if I still don't see the refund. I contacted Old Navy again on Nov 06 with my order number and a proof of the tracking history (with tracking number). Customer Service responded my email and said the order number is missing, tracking number is missing and item description that was returned is missing. I just can't believe it. I don't think I would ever order anything from Old Navy or Gap online in my life. So frustrated!!!",OldNavy
2021-11-05,Brittany Dowie,1,Whenever they do “old navy cash” or 30%…,Whenever they do “old navy cash” or 30% off days they jack up the price of everything. I had old navy cash and bought shoes for 44.99. When I received the shoes it haha a price tag of 34.99. Such a rip off,OldNavy
2021-10-28,Bekah Avila,3,It's ok,"It's ok, kinda pricey, smells weird in the store",OldNavy
2021-09-23,Sophia Seaudin,5,yes very good,old navy very good yes very good have bowling they do yes very good its called knock over the child with clothing racks yes very good fun,OldNavy
2021-09-23,Olivia Leix-Jakobsen,1,i hate old navy with my entire heart .,"i hate old navy with my entire heart so much. so, why do i hate old navy so much? well, one time when i walked out of the store and got into my house, THE BAG EXPLODED!!!! so, my dog died and my house burned down. i am disgusted when i look at old navy now. 0/10",OldNavy
2021-09-23,JM,5,Old Navy has certainly improved on…,Old Navy has certainly improved on their service since last May. Orders are being processed in a timely fashion and delivery is within a few days.  Well done Old Navy for improving.  I also love their expanded size range for women,OldNavy
2021-08-23,Adam Guerrero,1,Horrible customer service,Horrible customer service. Systems are not sophisticated enough to cancel an order made on the same day.,OldNavy
2021-08-19,S Saner,1,Customer non-service,"I received a completely wrong order (likely, someone else's order) and was told that ""I needed to return the wrong items, wait for about three weeks for a refund, and resubmit my original order."" I already spent more time than I needed to for a simple order. The worst customer service I have encountered.",OldNavy
2021-08-19,kaitlyn rose,1,They charged me twice,I tried to pay with Apple Pay twice. Their website said my Apple Pay didn’t go through. I decided to try manual checkout the website said they were having difficulties and to order by calling customer service. I decided to get what I need from another website instead. I noticed on my bank statement I was charged twice and received to confirmation emails for the same order. I tried to call customer service to cancel my orders. The connection was so bad I could not hear the guy from wherever in India I was calling. I called two times and both times in the middle of talking to the guy on the other end I was directed to a survey about my experience as if though it was the end of my call. I will be disputing these charges through my bank now. What a waste of time and bizarre experience.,OldNavy
2021-08-18,Whitney Hurst,2,Missing item,"I received everything in my order but one item. I called customer service and they told me they would have that item sent out right away. Again, that item never showed up. Awesome. Won't be ordering online from Old Navy anymore.",OldNavy
2021-07-15,Summer Kenney,1,I am giving them 1 star,I am giving them 1 star. Not because of old navy but because of their delivery service Lasership. I just watched the delivery driver open his window and throw my package onto my front yard. The part he threw it on is not even considered my yard its the citys!,OldNavy
2021-07-08,Laurie Grimes,1,Can I give 0 stars??,"Can I give 0 stars??? Do not get their card. Stick to jeans and Pixie pants. Everything else is horrible. * Tops look wrinkled and cheap. Worst camis ever, basic t-shirts look worse than garage sale clothing.* Worst Web site ever. I use the online bill pay once and then subsequent attempts fail with a technical issue 1003 error.* App works 1 time and then I have a technical issue. (Twice now.)* Takes 4 minutes to get a human on the phone if you need customer service.* Canceled my credit card because of the incredibly bad service and product.",OldNavy
,Jane Stafford,1,Don’t use fastest shipping method!!!,"I ordered the 2 day method b/c I was going on vacation three business days later. They use a variety of shippers apparently THOUGH on their website it states that they use UPS or Canada post (both which can do this service), therefore I felt confident in ordering with them. Old navy rep said they don’t know who they use until the order is shipped. Does this make sense? FedEx is notorious for not making an attempt at all.They just slap a sticker on our buzzer panel and leave. My manager of the building saw it! I had that happen previously from FedEx. I contacted FedEx regarding what happened, they denied the possibility that this might have ever happened. The location which is the pick up place is sitting at the edge of the North East end of town, a two hour bus ride and I couldn’t get the package for 3 business days which has a weekend in the middle. I am leaving Monday, July 5th and it was supposed to be at my place on June 30th. I told the rep I would never buy from there again, she didn’t care, or the obvious the company has no interest, I’m just one customer, what does that matter right? I demanded to talk with a manager after waiting a considerable amount time I didn’t get a manager which I’d asked for but I got a refund for the shipping. I shop on their website and I usually buy quite a lot at at one time. What a shame b/c I love their stuff. Bye!!",OldNavy
